model,threshold,nb_model,nb_treat_all,nb_treat_none
bidmc_postopA,0.01,0.06392165934150668,0.06392165934150668,0.0
bidmc_postopA,0.02,0.05436983953886898,0.05436983953886898,0.0
bidmc_postopA,0.03,0.044621074998032584,0.044621074998032584,0.0
bidmc_postopA,0.04,0.03466921119592875,0.03466921119592875,0.0
bidmc_postopA,0.05,0.02450783447167537,0.02450783447167537,0.0
bidmc_postopA,0.06,0.01413025824265065,0.01413025824265065,0.0
bidmc_postopA,0.07,0.003529508331281281,0.003529508331281281,0.0
bidmc_postopA,0.08,-0.0073016926651178204,-0.0073016926651178204,0.0
bidmc_postopA,0.09,-0.01837094203506416,-0.01837094203506416,0.0
bidmc_postopA,0.1,-0.029686174724342665,-0.029686174724342665,0.0
bidmc_postopA,0.11,-0.041255682305515046,-0.041255682305515046,0.0
bidmc_postopA,0.12,-0.05308813324080498,-0.05308813324080498,0.0
bidmc_postopA,0.13,-0.06519259454242345,-0.06519259454242345,0.0
bidmc_postopA,0.14,-0.07757855494407954,-0.07757855494407954,0.0
bidmc_postopA,0.15,-0.09025594970812754,-0.09025594970812754,0.0
bidmc_postopA,0.16,-0.10323518720465287,-0.10323518720465287,0.0
bidmc_postopA,0.17,-0.11652717741193784,-0.11652717741193784,0.0
bidmc_postopA,0.18,-0.13014336250232728,-0.13014336250232728,0.0
bidmc_postopA,0.19,-0.14409574969371408,-0.14409574969371408,0.0
bidmc_postopA,0.2,-0.1583969465648855,-0.1583969465648855,0.0
bidmc_postopA,0.21,-0.1730601990530486,-0.1730601990530486,0.0
bidmc_postopA,0.22,-0.18809943237424154,-0.18809943237424154,0.0
bidmc_postopA,0.23,-0.20307326261524739,-0.20352929513234858,0.0
bidmc_postopA,0.24,-0.21840096424266775,-0.21936520691040579,0.0
bidmc_postopA,0.25,-0.23358778625954196,-0.2356234096692112,0.0
bidmc_postopA,0.26,-0.2500928409325356,-0.25232102331338974,0.0
bidmc_postopA,0.27,-0.265356059813866,-0.2694761058245321,0.0
bidmc_postopA,0.28,-0.2794741306191688,-0.2871077184054284,0.0
bidmc_postopA,0.29,-0.29332329857004624,-0.30523599612944846,0.0
bidmc_postopA,0.3,-0.3055616139585606,-0.32388222464558347,0.0
bidmc_postopA,0.31,-0.31403916362429474,-0.3430689235534905,0.0
bidmc_postopA,0.32,-0.3207903008531658,-0.3628199371351595,0.0
bidmc_postopA,0.33,-0.32835820895522394,-0.38316053321180366,0.0
bidmc_postopA,0.34,-0.3331482766597271,-0.4041175109877401,0.0
bidmc_postopA,0.35000000000000003,-0.3297709923664123,-0.4257193188490899,0.0
bidmc_postopA,0.36,-0.3319656488549618,-0.4479961832061069,0.0
bidmc_postopA,0.37,-0.32977099236641216,-0.4709802496062039,0.0
bidmc_postopA,0.38,-0.31987195272100466,-0.4947057375030781,0.0
bidmc_postopA,0.39,-0.31990989863596553,-0.5192091102490303,0.0
bidmc_postopA,0.4,-0.3282442748091604,-0.5445292620865141,0.0
bidmc_postopA,0.41000000000000003,-0.3277008668650538,-0.570707724155777,0.0
bidmc_postopA,0.42,-0.3227165043432481,-0.597788891813635,0.0
bidmc_postopA,0.43,-0.3109146913084237,-0.625820275880541,0.0
bidmc_postopA,0.44,-0.3117775354416576,-0.6548527808069793,0.0
bidmc_postopA,0.45,-0.3095072866065232,-0.684941013185288,0.0
bidmc_postopA,0.46,-0.30811422109132036,-0.7161436245405711,0.0
bidmc_postopA,0.47000000000000003,-0.30263574823563305,-0.7485236929281291,0.0
bidmc_postopA,0.48,-0.30041103934233704,-0.7821491485613623,0.0
bidmc_postopA,0.49,-0.30465499176769945,-0.8170932495135458,0.0
bidmc_postopA,0.5,-0.3022900763358779,-0.8534351145038168,0.0
bidmc_postopA,0.51,-0.3038479513942982,-0.8912603209222622,0.0
bidmc_postopA,0.52,-0.2932569974554708,-0.9306615776081426,0.0
bidmc_postopA,0.53,-0.2793893129770993,-0.9717394835146989,0.0
bidmc_postopA,0.54,-0.2583471622967143,-1.0146033853302359,0.0
bidmc_postopA,0.55,-0.25292620865139953,-1.0593723494486857,0.0
bidmc_postopA,0.56,-0.24469118667591952,-1.1061762664816102,0.0
bidmc_postopA,0.5700000000000001,-0.23152849281022556,-1.1551571098881595,0.0
bidmc_postopA,0.58,-0.2146128680479825,-1.2064703744093055,0.0
bidmc_postopA,0.59,-0.1898342952895177,-1.2602867250046543,0.0
bidmc_postopA,0.6,-0.17633587786259536,-1.316793893129771,0.0
bidmc_postopA,0.61,-0.17052260716382853,-1.376198864748483,0.0
bidmc_postopA,0.62,-0.16504620329449576,-1.4387304138208115,0.0
bidmc_postopA,0.63,-0.157375696306994,-1.5046420466267794,0.0
bidmc_postopA,0.64,-0.1463952502120441,-1.5742154368108567,0.0
bidmc_postopA,0.65,-0.12410032715376229,-1.6477644492911672,0.0
bidmc_postopA,0.66,-0.10345756623259993,-1.725639874270319,0.0
bidmc_postopA,0.67,-0.08073097386074488,-1.8082350219754804,0.0
bidmc_postopA,0.68,-0.0702290076335878,-1.8959923664122142,0.0
bidmc_postopA,0.6900000000000001,-0.05353361241073629,-1.989411475006157,0.0
bidmc_postopA,0.7000000000000001,-0.047328244274809174,-2.089058524173028,0.0
bidmc_postopA,0.71,-0.0358515398789155,-2.19557778362727,0.0
bidmc_postopA,0.72,-0.02988004362050163,-2.309705561613958,0.0
bidmc_postopA,0.73,-0.02736782584110828,-2.4322872490811416,0.0
bidmc_postopA,0.74,-0.015854374633000583,-2.564298297122724,0.0
bidmc_postopA,0.75,-0.0183206106870229,-2.706870229007633,0.0
bidmc_postopA,0.76,-0.01933842239185751,-2.861323155216285,0.0
bidmc_postopA,0.77,-0.015333554596747428,-3.0292067706604713,0.0
bidmc_postopA,0.78,-0.01082581540596808,-3.2123525329632203,0.0
bidmc_postopA,0.79,-0.011486732097419123,-3.412940748818612,0.0
bidmc_postopA,0.8,-0.006106870229007635,-3.6335877862595427,0.0
bidmc_postopA,0.81,-0.006508638007231822,-3.8774608276416243,0.0
bidmc_postopA,0.8200000000000001,-0.0069550466497031406,-4.148430873621715,0.0
bidmc_postopA,0.8300000000000001,-0.007453973955994615,-4.45127974854064,0.0
bidmc_postopA,0.84,-0.008015267175572518,-4.791984732824427,0.0
bidmc_postopA,0.85,0.0,-5.1781170483460555,0.0
bidmc_postopA,0.86,0.0,-5.619411123227917,0.0
bidmc_postopA,0.87,0.0,-6.128596594245449,0.0
bidmc_postopA,0.88,0.0,-6.72264631043257,0.0
bidmc_postopA,0.89,0.0,-7.424705065926441,0.0
bidmc_postopA,0.9,0.0,-8.267175572519086,0.0
bidmc_postopB,0.01,0.06392165934150668,0.06392165934150668,0.0
bidmc_postopB,0.02,0.05293659448512229,0.05436983953886898,0.0
bidmc_postopB,0.03,0.04366097426615252,0.044621074998032584,0.0
bidmc_postopB,0.04,0.032697201017811706,0.03466921119592875,0.0
bidmc_postopB,0.05,0.023704298915226997,0.02450783447167537,0.0
bidmc_postopB,0.06,0.01296085756050025,0.01413025824265065,0.0
bidmc_postopB,0.07,0.003775753098579984,0.003529508331281281,0.0
bidmc_postopB,0.08,-0.006239628277464326,-0.0073016926651178204,0.0
bidmc_postopB,0.09,-0.014663199396023813,-0.01837094203506416,0.0
bidmc_postopB,0.1,-0.023918575063613237,-0.029686174724342665,0.0
bidmc_postopB,0.11,-0.03171798610515482,-0.041255682305515046,0.0
bidmc_postopB,0.12,-0.03948646773074252,-0.05308813324080498,0.0
bidmc_postopB,0.13,-0.05185575151355621,-0.06519259454242345,0.0
bidmc_postopB,0.14,-0.05648854961832061,-0.07757855494407954,0.0
bidmc_postopB,0.15,-0.06259541984732825,-0.09025594970812754,0.0
bidmc_postopB,0.16,-0.06862958924027629,-0.10323518720465287,0.0
bidmc_postopB,0.17,-0.07648303136208959,-0.11652717741193784,0.0
bidmc_postopB,0.18,-0.08288959225470113,-0.13014336250232728,0.0
bidmc_postopB,0.19,-0.08692865893883703,-0.14409574969371408,0.0
bidmc_postopB,0.2,-0.09351145038167938,-0.1583969465648855,0.0
bidmc_postopB,0.21,-0.09832834090250264,-0.1730601990530486,0.0
bidmc_postopB,0.22,-0.10452143276570758,-0.18809943237424154,0.0
bidmc_postopB,0.23,-0.10964607911172797,-0.20352929513234858,0.0
bidmc_postopB,0.24,-0.11402169546002411,-0.21936520691040579,0.0
bidmc_postopB,0.25,-0.11959287531806614,-0.2356234096692112,0.0
bidmc_postopB,0.26,-0.12391169795749948,-0.25232102331338974,0.0
bidmc_postopB,0.27,-0.13058663599288928,-0.2694761058245321,0.0
bidmc_postopB,0.28,-0.13850720949957596,-0.2871077184054284,0.0
bidmc_postopB,0.29,-0.14090957961509518,-0.30523599612944846,0.0
bidmc_postopB,0.3,-0.14612868047982552,-0.32388222464558347,0.0
bidmc_postopB,0.31,-0.1484456245159863,-0.3430689235534905,0.0
bidmc_postopB,0.32,-0.15401885945217783,-0.3628199371351595,0.0
bidmc_postopB,0.33,-0.15706961376324488,-0.38316053321180366,0.0
bidmc_postopB,0.34,-0.1597964376590331,-0.4041175109877401,0.0
bidmc_postopB,0.35000000000000003,-0.1630064591896653,-0.4257193188490899,0.0
bidmc_postopB,0.36,-0.166793893129771,-0.4479961832061069,0.0
bidmc_postopB,0.37,-0.17305222343390284,-0.4709802496062039,0.0
bidmc_postopB,0.38,-0.18108840187146025,-0.4947057375030781,0.0
bidmc_postopB,0.39,-0.18681016143161056,-0.5192091102490303,0.0
bidmc_postopB,0.4,-0.18829516539440208,-0.5445292620865141,0.0
bidmc_postopB,0.41000000000000003,-0.20186311295122267,-0.570707724155777,0.0
bidmc_postopB,0.42,-0.19936825480389572,-0.597788891813635,0.0
bidmc_postopB,0.43,-0.20717825097093878,-0.625820275880541,0.0
bidmc_postopB,0.44,-0.21035986913849508,-0.6548527808069793,0.0
bidmc_postopB,0.45,-0.2198473282442748,-0.684941013185288,0.0
bidmc_postopB,0.46,-0.2240882103477523,-0.7161436245405711,0.0
bidmc_postopB,0.47000000000000003,-0.22549330260694225,-0.7485236929281291,0.0
bidmc_postopB,0.48,-0.22665883734586026,-0.7821491485613623,0.0
bidmc_postopB,0.49,-0.23020505912288577,-0.8170932495135458,0.0
bidmc_postopB,0.5,-0.2351145038167939,-0.8534351145038168,0.0
bidmc_postopB,0.51,-0.2350833463156255,-0.8912603209222622,0.0
bidmc_postopB,0.52,-0.23778625954198476,-0.9306615776081426,0.0
bidmc_postopB,0.53,-0.24014942342049703,-0.9717394835146989,0.0
bidmc_postopB,0.54,-0.24062396282774648,-1.0146033853302359,0.0
bidmc_postopB,0.55,-0.24410517387616631,-1.0593723494486857,0.0
bidmc_postopB,0.56,-0.25121443442054137,-1.1061762664816102,0.0
bidmc_postopB,0.5700000000000001,-0.25684360021303043,-1.1551571098881595,0.0
bidmc_postopB,0.58,-0.2540894220283533,-1.2064703744093055,0.0
bidmc_postopB,0.59,-0.2522062930552969,-1.2602867250046543,0.0
bidmc_postopB,0.6,-0.2480916030534351,-1.316793893129771,0.0
bidmc_postopB,0.61,-0.2590722254844392,-1.376198864748483,0.0
bidmc_postopB,0.62,-0.2620329449578144,-1.4387304138208115,0.0
bidmc_postopB,0.63,-0.2667216835155766,-1.5046420466267794,0.0
bidmc_postopB,0.64,-0.2729431721798134,-1.5742154368108567,0.0
bidmc_postopB,0.65,-0.2634678298800437,-1.6477644492911672,0.0
bidmc_postopB,0.66,-0.26906151773686576,-1.725639874270319,0.0
bidmc_postopB,0.67,-0.26999768679158,-1.8082350219754804,0.0
bidmc_postopB,0.68,-0.2801526717557253,-1.8959923664122142,0.0
bidmc_postopB,0.6900000000000001,-0.275104654026102,-1.989411475006157,0.0
bidmc_postopB,0.7000000000000001,-0.2641221374045802,-2.089058524173028,0.0
bidmc_postopB,0.71,-0.2703342984996051,-2.19557778362727,0.0
bidmc_postopB,0.72,-0.2532170119956379,-2.309705561613958,0.0
bidmc_postopB,0.73,-0.2478371501272264,-2.4322872490811416,0.0
bidmc_postopB,0.74,-0.22830299471520843,-2.564298297122724,0.0
bidmc_postopB,0.75,-0.21832061068702288,-2.706870229007633,0.0
bidmc_postopB,0.76,-0.2068702290076336,-2.861323155216285,0.0
bidmc_postopB,0.77,-0.20398274145370066,-3.0292067706604713,0.0
bidmc_postopB,0.78,-0.19805690492713393,-3.2123525329632203,0.0
bidmc_postopB,0.79,-0.17041075972373684,-3.412940748818612,0.0
bidmc_postopB,0.8,-0.15114503816793895,-3.6335877862595427,0.0
bidmc_postopB,0.81,-0.1501004419445561,-3.8774608276416243,0.0
bidmc_postopB,0.8200000000000001,-0.13994910941475833,-4.148430873621715,0.0
bidmc_postopB,0.8300000000000001,-0.13551863493489005,-4.45127974854064,0.0
bidmc_postopB,0.84,-0.13015267175572517,-4.791984732824427,0.0
bidmc_postopB,0.85,-0.13231552162849872,-5.1781170483460555,0.0
bidmc_postopB,0.86,-0.14394765539803706,-5.619411123227917,0.0
bidmc_postopB,0.87,-0.1486788021139166,-6.128596594245449,0.0
bidmc_postopB,0.88,-0.1297709923664122,-6.72264631043257,0.0
bidmc_postopB,0.89,-0.10659264399722417,-7.424705065926441,0.0
bidmc_postopB,0.9,-0.12061068702290079,-8.267175572519086,0.0
bidmc_preop,0.01,0.06392165934150668,0.06392165934150668,0.0
bidmc_preop,0.02,0.05436983953886898,0.05436983953886898,0.0
bidmc_preop,0.03,0.04480994727315653,0.044621074998032584,0.0
bidmc_preop,0.04,0.03276081424936387,0.03466921119592875,0.0
bidmc_preop,0.05,0.019766974688629972,0.02450783447167537,0.0
bidmc_preop,0.06,0.011206756537274654,0.01413025824265065,0.0
bidmc_preop,0.07,-0.0005909874415168798,0.003529508331281281,0.0
bidmc_preop,0.08,-0.008629273149684709,-0.0073016926651178204,0.0
bidmc_preop,0.09,-0.013002264910661858,-0.01837094203506416,0.0
bidmc_preop,0.1,-0.015776081424936396,-0.029686174724342665,0.0
bidmc_preop,0.11,-0.020001715412985684,-0.041255682305515046,0.0
bidmc_preop,0.12,-0.02546842470506592,-0.05308813324080498,0.0
bidmc_preop,0.13,-0.030113187680968677,-0.06519259454242345,0.0
bidmc_preop,0.14,-0.031954553523877154,-0.07757855494407954,0.0
bidmc_preop,0.15,-0.03520431073192637,-0.09025594970812754,0.0
bidmc_preop,0.16,-0.032642675390767,-0.10323518720465287,0.0
bidmc_preop,0.17,-0.03283362457463443,-0.11652717741193784,0.0
bidmc_preop,0.18,-0.035598584993483506,-0.13014336250232728,0.0
bidmc_preop,0.19,-0.03270191310903779,-0.14409574969371408,0.0
bidmc_preop,0.2,-0.03358778625954198,-0.1583969465648855,0.0
bidmc_preop,0.21,-0.031191419460817462,-0.1730601990530486,0.0
bidmc_preop,0.22,-0.02755920923859855,-0.18809943237424154,0.0
bidmc_preop,0.23,-0.027917121046892042,-0.20352929513234858,0.0
bidmc_preop,0.24,-0.030534351145038163,-0.21936520691040579,0.0
bidmc_preop,0.25,-0.024427480916030534,-0.2356234096692112,0.0
bidmc_preop,0.26,-0.024840107282855378,-0.25232102331338974,0.0
bidmc_preop,0.27,-0.022921677297919066,-0.2694761058245321,0.0
bidmc_preop,0.28,-0.020101781170483463,-0.2871077184054284,0.0
bidmc_preop,0.29,-0.019675303730781638,-0.30523599612944846,0.0
bidmc_preop,0.3,-0.015485278080697929,-0.32388222464558347,0.0
bidmc_preop,0.31,-0.013718331673857729,-0.3430689235534905,0.0
bidmc_preop,0.32,-0.012932195779074989,-0.3628199371351595,0.0
bidmc_preop,0.33,-0.009023584368235162,-0.38316053321180366,0.0
bidmc_preop,0.34,-0.0070784177654406675,-0.4041175109877401,0.0
bidmc_preop,0.35000000000000003,-0.007398708162066942,-0.4257193188490899,0.0
bidmc_preop,0.36,-0.006870229007633588,-0.4479961832061069,0.0
bidmc_preop,0.37,-0.006276505513146735,-0.4709802496062039,0.0
bidmc_preop,0.38,-0.005614380694410244,-0.4947057375030781,0.0
bidmc_preop,0.39,-0.003904392441496684,-0.5192091102490303,0.0
bidmc_preop,0.4,-0.004071246819338423,-0.5445292620865141,0.0
bidmc_preop,0.41000000000000003,-0.004243757277784966,-0.570707724155777,0.0
bidmc_preop,0.42,-0.004422216372729665,-0.597788891813635,0.0
bidmc_preop,0.43,-0.004606937190304004,-0.625820275880541,0.0
bidmc_preop,0.44,-0.004798255179934569,-0.6548527808069793,0.0
bidmc_preop,0.45,-0.004996530187369882,-0.684941013185288,0.0
bidmc_preop,0.46,-0.005202148713599095,-0.7161436245405711,0.0
bidmc_preop,0.47000000000000003,-0.004061644822123002,-0.7485236929281291,0.0
bidmc_preop,0.48,-0.002818555490311215,-0.7821491485613623,0.0
bidmc_preop,0.49,-0.002933692560993863,-0.8170932495135458,0.0
bidmc_preop,0.5,-0.0030534351145038168,-0.8534351145038168,0.0
bidmc_preop,0.51,-0.003178065119177442,-0.8912603209222622,0.0
bidmc_preop,0.52,-0.0033078880407124687,-0.9306615776081426,0.0
bidmc_preop,0.53,-0.0017216176709436417,-0.9717394835146989,0.0
bidmc_preop,0.54,-0.0017922336541652839,-1.0146033853302359,0.0
bidmc_preop,0.55,-0.0018659881255301107,-1.0593723494486857,0.0
bidmc_preop,0.56,-0.0019430950728660655,-1.1061762664816102,0.0
bidmc_preop,0.5700000000000001,-0.0020237883898455533,-1.1551571098881595,0.0
bidmc_preop,0.58,-0.0021083242457288257,-1.2064703744093055,0.0
bidmc_preop,0.59,-0.002196983801899087,-1.2602867250046543,0.0
bidmc_preop,0.6,-0.0022900763358778622,-1.316793893129771,0.0
bidmc_preop,0.61,0.0,-1.376198864748483,0.0
bidmc_preop,0.62,0.0,-1.4387304138208115,0.0
bidmc_preop,0.63,0.0,-1.5046420466267794,0.0
bidmc_preop,0.64,0.0,-1.5742154368108567,0.0
bidmc_preop,0.65,0.0,-1.6477644492911672,0.0
bidmc_preop,0.66,0.0,-1.725639874270319,0.0
bidmc_preop,0.67,0.0,-1.8082350219754804,0.0
bidmc_preop,0.68,0.0,-1.8959923664122142,0.0
bidmc_preop,0.6900000000000001,0.0,-1.989411475006157,0.0
bidmc_preop,0.7000000000000001,0.0,-2.089058524173028,0.0
bidmc_preop,0.71,0.0,-2.19557778362727,0.0
bidmc_preop,0.72,0.0,-2.309705561613958,0.0
bidmc_preop,0.73,0.0,-2.4322872490811416,0.0
bidmc_preop,0.74,0.0,-2.564298297122724,0.0
