,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14
sodium_delta_48h,0.008038845662074594,0.008405365160000235,0.008985692447888945,0.010369432028685005,0.00812051355849107,0.007937194339444653,0.009923272702161843,0.009807986251742081,0.009376440250404868,0.007007089882032743,0.008642816119351752,0.00826755039881533,0.007352247232678834,0.009254774081627382,0.008402595241211584
sodium_cv_48h,0.010024350763571855,0.013209012231503498,0.011141692868956695,0.0095479558373119,0.013091136504626403,0.010586679273597804,0.010178228998384461,0.010838247864916065,0.010219548356156226,0.010638585888808123,0.01115126957488347,0.011004642034644664,0.011207906201748661,0.009845233919844886,0.010955167482612566
potassium_slope_48h,0.014358300253815995,0.019836769137505157,0.014468226080229027,0.015012755426550973,0.012622681580130411,0.013693236927187677,0.016276741049900487,0.01583319804056445,0.01315135891200344,0.013687656872124634,0.012873844107704355,0.012896908273133906,0.01414822056057113,0.015983626150563673,0.016180355589921782
potassium_delta_48h,0.008780381080069066,0.011057069202493736,0.008822858333538654,0.010681014367043863,0.008366067024800545,0.008228499291013042,0.011846844354633894,0.010396364508018783,0.010564648819237722,0.009019669353945142,0.010020337257368173,0.008399486765048392,0.009971823470088974,0.011670140522958243,0.009862282381506948
potassium_cv_48h,0.018688448528000765,0.017733301154316233,0.01512495520919356,0.014633737118543344,0.014565615269271416,0.018690127013767207,0.015651212831761675,0.015423337177730905,0.015771220667309724,0.01630904750515084,0.01321826518008543,0.015488990843029961,0.018913209174286003,0.015701160058578002,0.01529301148449842
glucose_slope_48h,0.012758090557180704,0.015215241485969823,0.015979878551491952,0.016725512477292277,0.011838181048219213,0.015764423503764603,0.015260922137190604,0.013399450781286659,0.017402674514427032,0.013191174785238693,0.01540522310130384,0.013022068354210041,0.01359696410336462,0.014760743233099201,0.012283910094002584
glucose_delta_48h,0.009747538151550808,0.012227873456585521,0.011717063792960575,0.013218986857176615,0.010169946734916769,0.012225430008778316,0.01150171619459055,0.011747969335641848,0.013997079673354472,0.010239996598469324,0.014871129441653514,0.011993527387063685,0.009768704611562753,0.011225532263794828,0.010756080227285577
glucose_cv_48h,0.013688070788961849,0.012382434294326887,0.013198302314201266,0.01364669671621319,0.015213816886828395,0.012452402066317246,0.01353006537372542,0.01590610299617829,0.011495818629177423,0.013873390695793207,0.012456119463880876,0.013196094334812631,0.01469094038080821,0.012808894019191799,0.013257961799894748
creatinine_slope_48h,0.01340926995420023,0.014528816356054845,0.011749559403757765,0.011184057493016004,0.01541737666136588,0.012531306471522074,0.012646315977936662,0.013913420926192277,0.013779102508802906,0.015103952576799966,0.01407661327843868,0.015373438274451931,0.011958183317846554,0.014085832108752873,0.01248164468586059
creatinine_delta_48h,0.011549815274045618,0.011597344213013653,0.009377722602200426,0.010143343568495923,0.013112834838961302,0.009707356135613049,0.010552314536340854,0.011990777908185394,0.011224563771452136,0.012832710713604055,0.01229167206122391,0.01425680242608417,0.010119074384922374,0.011853079721681167,0.010360015738135088
creatinine_cv_48h,0.010444046519488511,0.012569445051114346,0.010474404461455684,0.011889984917889198,0.014190530516885699,0.014096287152963094,0.011518787294914871,0.011560410441518036,0.011096390484894213,0.010846362008555826,0.011980382126414935,0.011057962851711147,0.011845620413798708,0.010868958102760614,0.014324371545523351
platelets_x_1000_slope_48h,0.010164163449163887,0.010607625259434553,0.011092719037928323,0.012607243248276738,0.011188751423462187,0.012512985438556619,0.011996681335552742,0.012118772927009719,0.00988548980611649,0.011073754596459264,0.009884720677390628,0.011387252970128898,0.011259993265295906,0.011087518439169596,0.012005846163752644
platelets_x_1000_delta_48h,0.010945973786234357,0.010772639526750253,0.00987286929103251,0.010472290435608189,0.010363191911618372,0.012139108923380522,0.009934166045171996,0.010206993678682465,0.010929562559769021,0.009453730985768525,0.009635452462622767,0.00983637306545734,0.011396150231979254,0.010473875239155762,0.011145821140805177
platelets_x_1000_cv_48h,0.0135389019764554,0.014190493435020927,0.011508870305969594,0.013056373083111177,0.010801401355258743,0.011828909331597798,0.012979267686368121,0.012468318736037678,0.011243437087006045,0.012530558801799378,0.013567009198671232,0.012521045465127889,0.012229814413453586,0.013620458383294553,0.011930683067611556
lactate_slope_48h,0.0002484405932904738,0.00027726676179464296,0.00014550876282196237,7.015064774816351e-05,0.0001205540953533384,0.00019944928468506508,0.0004619809865105545,0.00014870480213156664,0.0002836078788727172,6.948135587851625e-05,6.331449024524682e-05,0.0002591932172938805,0.00030613076831946463,0.00030601241255568534,0.0002032317555656525
lactate_delta_48h,0.00030919158047699877,0.00019783365335536077,0.00024477385760728493,0.00011187630342080148,0.00028874505179957285,0.000266412488829036,0.0003247409099400094,0.00018574723722067246,0.0005672858248826785,0.00021426423475788837,7.937211228544017e-05,0.0002474678269664147,0.00023534931785259669,0.0003043889999741898,0.00029095737500878574
lactate_cv_48h,0.00033257876570482126,0.0003710066321320834,0.00039870262777015527,6.39645813432451e-05,0.0002530460788399064,0.00037925128812266753,0.00039880686329720697,0.0002574944973471366,0.0003452701107976445,0.00015287894352040502,3.193700414436064e-05,0.0003203289909861385,0.00036493770470675754,0.0002727342606780035,0.00016956625808067674
WBC_x_1000_slope_48h,0.01040820559440131,0.011249311308707991,0.014629759135094275,0.009503905764367646,0.009973930798237803,0.009466116537908882,0.011620864626327826,0.00972704663115394,0.011494001660569665,0.0095444730425298,0.009716860755270545,0.013148832271605604,0.010028673870352152,0.010361836826562365,0.009937377540404507
WBC_x_1000_delta_48h,0.010627385818285585,0.009438452194682638,0.012104562030602381,0.00964464814783964,0.009094204060400285,0.010445316748135584,0.011832907699096316,0.00928327454929842,0.010861284258790746,0.01003767099516014,0.008672712427508639,0.014426477686880561,0.009656284754772993,0.008110521863719888,0.011211425674129409
WBC_x_1000_cv_48h,0.012520255893071411,0.011609106286110827,0.013281752371530524,0.012084530869761268,0.010001753965053917,0.010615055174062738,0.014591304860931076,0.01324233882512914,0.009580487009258645,0.011604675034803363,0.010896718903808977,0.011853332365438748,0.013312146919739849,0.010011318374159061,0.012519790519339246
Hgb_slope_48h,0.010337073559234335,0.012009251442458247,0.015590605055170391,0.013962373980056083,0.013271600307395057,0.013121880710865957,0.015000215323948561,0.012099584741548531,0.012718336135710327,0.012384828688722848,0.01210818821952086,0.011673646385680591,0.013586051439497126,0.01330989893912611,0.01388178897540438
Hgb_delta_48h,0.00867297854145626,0.008481489046627716,0.011379254583076944,0.010205980435809541,0.009607974923098644,0.010597697829554968,0.008502446162865402,0.00975696303607873,0.008607765908420833,0.009043512013147799,0.009169202150137648,0.007819056933940445,0.00943000292217344,0.010736810142738498,0.010352021850047792
Hgb_cv_48h,0.01056063280753964,0.012597682235028019,0.014058210517876597,0.011964643806821712,0.011509783229954489,0.012485016445521307,0.01205708705580928,0.011630697147707975,0.012967629676152006,0.012480651033733659,0.009838159056687938,0.013479031661163094,0.013463430879457084,0.011276968511503333,0.012721176364328972
heartrate_slope_48h,0.025667301525153795,0.024901956520468962,0.020167267829436133,0.020842574827069454,0.018852732477090794,0.02128076233890268,0.02337247779620212,0.019045587489194927,0.019599696929002944,0.02309954094681231,0.02362585117227804,0.02126374414886626,0.019315187645429586,0.017717911607481793,0.022277116110376284
heartrate_delta_48h,0.01886411797825578,0.019467633639184283,0.02238410129177275,0.022919609027874346,0.02130329860679341,0.020993230172467143,0.022848043130548872,0.017503475357980688,0.023531589994815666,0.021197083201794864,0.02252028115238548,0.019621508076293464,0.02472297562634369,0.022538247514539804,0.019871680768294413
heartrate_cv_48h,0.01887122950119441,0.0209220519594746,0.01953299079444629,0.019023387400150294,0.020948117190971734,0.018831085920945116,0.020084298907549793,0.02090245271128746,0.01766230841457781,0.0202080726708746,0.01756693469971453,0.020148472676087936,0.020638244849418754,0.020344732684999717,0.021302903197878687
systemicsystolic_slope_48h,0.0029584060665302845,0.0028928675216042298,0.003458390470746857,0.0034364715025421975,0.004890872211509645,0.0035508945147924523,0.0028877874390225884,0.0034506837236838637,0.0036769594077606057,0.003076629091537086,0.0031902467810114364,0.00321088876714605,0.0038325260905847057,0.0029381704011977863,0.0030050903386286713
systemicsystolic_delta_48h,0.002511502855015791,0.0027710137901533864,0.003053286436813404,0.003992488221912106,0.0033353980153386447,0.0030693938606533434,0.0025901895678761377,0.0030264604380345304,0.00400255837603725,0.003172453430623743,0.0027868765127562626,0.003069900839011843,0.0030361996674374914,0.0023376673674628044,0.002570538456102007
systemicsystolic_cv_48h,0.002674367846105441,0.0030209501122951247,0.0024144261182785075,0.002289006942329954,0.002815601188045027,0.0021391781422001833,0.0021233505566512385,0.002423149308509789,0.002718755419767853,0.0024345532170478874,0.0029521378241615004,0.002281211454594619,0.0027274054615531794,0.0019220585073356845,0.002899955389989061
systemicmean_slope_48h,0.0020874916165148248,0.0018221105494426446,0.001969626330832914,0.002593914795328068,0.0022849212096146786,0.0017322986462004798,0.0023427533258094393,0.002843918695175244,0.002729585056325114,0.002372818034043273,0.0019933072116904206,0.002411565156673742,0.0029986079880827683,0.001958656939809692,0.002142308695056412
systemicmean_delta_48h,0.0025188613708724958,0.0021998200188374927,0.0027843817381544315,0.0025936343369291253,0.0024723883608033775,0.0031738870880628663,0.0022350409785382567,0.003114537427883093,0.0032211160567079855,0.003498821435305393,0.002699465003659727,0.002527643941127519,0.0030591111058390877,0.0022065835193039434,0.0027909639994757114
systemicmean_cv_48h,0.0030498244337573603,0.003885536558326627,0.0033902476355739323,0.0020504149349533517,0.0032516386510908725,0.0035572133786436005,0.00311410513292662,0.002763726587558288,0.003643723568293127,0.0031755910221812917,0.00253626464393203,0.004261293445596683,0.003782255953466216,0.002391036337904458,0.003949490576320878
temperature_slope_48h,0.0012989190406359843,0.001088362109971982,0.0006827210454225418,0.0015397033713575611,0.0012533641705069613,0.0013773149218650278,0.0008244234226131168,0.0013106643008776691,0.0007166121185217259,0.0015045200229661627,0.0009729774205239089,0.0011061110664933637,0.0007677860025803143,0.001322256823159097,0.0014733832728281867
temperature_delta_48h,0.001001601894058688,0.0012228857618995015,0.0012034708282296594,0.0016619023863026065,0.001390820950948635,0.0014443321780975404,0.0010253203307108126,0.0012422852621900475,0.0006822479179325799,0.0017839256439899469,0.0015735801649420693,0.0015726176895037788,0.0009341123962853025,0.0014580754125196036,0.0018015576006685664
temperature_cv_48h,0.001413056192642312,0.001605514039363547,0.0010487025820596775,0.001201816259032184,0.0013303912844952503,0.0016941451858816757,0.001016553207064274,0.001366830485696898,0.0012352329912316538,0.0013118320592445801,0.0011074890416522792,0.0011409071741142918,0.0004977974048316801,0.0013439433649845265,0.0018991888172068103
sao2_slope_48h,0.025341418665700218,0.02650396855163876,0.02334681739023041,0.022958260670208435,0.0253942562772565,0.02013111690224311,0.02327650239903145,0.02284012499069247,0.027621828215342262,0.027093974807553954,0.025474357858533386,0.027657966715754975,0.02339958852026685,0.024673996072120934,0.02657776578236022
sao2_delta_48h,0.013714953100464321,0.014879486951692583,0.01361949091326756,0.012126909698661729,0.011910608579001825,0.011296470953126173,0.013723259425768589,0.01339282821025821,0.01243742049517655,0.013420663467742067,0.012565172608376016,0.013132689361340122,0.013894772263306775,0.012943969984569014,0.01222679210394406
sao2_cv_48h,0.021038493617617674,0.02024901667599557,0.018204992942681568,0.018567979174760763,0.0205368153022084,0.02128312284491792,0.017881953523596554,0.01721927266188484,0.01851075214724867,0.019241544682711418,0.020789370030661284,0.019054640454742568,0.01970598193741779,0.01791093272288017,0.018641586319759085
temperature_min,0.001049854705644939,0.0008782260116406504,0.0009871250562986504,0.0011379262796394568,0.0012395712932025168,0.0016207987927817917,0.0015554071570520953,0.0010717982001207582,0.0009736458100700393,0.0013210568370309618,0.0014643365768084303,0.0011140250186342444,0.0005509975350622626,0.0007905138261698173,0.0016225075819159853
temperature_max,0.0010048419309568438,0.0007005843934303804,0.0008274345266965541,0.000741664373041292,0.001434274281050433,0.0010217824324022134,0.0008062064313650739,0.0008996090067035145,0.0005954259511996503,0.0012558299788750307,0.0007525467958035439,0.000671476257357806,0.00046514829116493415,0.0006883248540242687,0.0010816625787786972
temperature_std,0.0007603211947089296,0.0008633090994890572,0.0009114139754152908,0.0009991684747582353,0.0011068832733414078,0.0007435199928912001,0.0007019636905246334,0.0008811479777578628,0.00045846585435596474,0.0008358050182344175,0.0008128529905734833,0.0009426922467290069,0.0002690205255388319,0.0009398320059673173,0.0010300864181546515
sao2_min,0.012437191304000816,0.01613048976772746,0.014754406607502423,0.01336759447693359,0.013546461180040046,0.013665556539267487,0.013401403165697318,0.014828368662281885,0.013072358002718875,0.016381469036155585,0.01513859788973587,0.013448535165289816,0.0146837900538528,0.01414227365156147,0.01445127482492367
sao2_max,0.010835753687560712,0.009818481743686247,0.013318632799218385,0.01236507216276767,0.01450117273133529,0.015770586220456174,0.009608429223755835,0.014747325848381003,0.008516989961705676,0.014976205252770151,0.012126084781429175,0.015696102623151943,0.0129892551481236,0.012500026871360773,0.009538758195642172
sao2_std,0.01965641224782061,0.02028055209633171,0.017421885086755875,0.017725822915726556,0.01823562611276362,0.01828548959493408,0.019196710526609734,0.016987735644223696,0.01664804580270707,0.019646036562371957,0.017989579159258508,0.019123452655887004,0.019580706037141824,0.017225094460033293,0.018225284601501673
heartrate_min,0.018759782997858708,0.020527795918653075,0.015603730889277476,0.018103017628713552,0.016972169332637153,0.019356943047986692,0.019014315353881046,0.015907119360616735,0.016748497702446345,0.01815457217750765,0.019755543758591947,0.01830399019039647,0.019052948207722447,0.017323958257789224,0.018728606655794518
heartrate_max,0.022898003439834846,0.02431918368133693,0.02127042864027853,0.022057183652239947,0.024591926965513343,0.026274098345323252,0.021683099842960827,0.02057007621959316,0.0234997749682217,0.02425586180304285,0.027059193190969184,0.020624024817310828,0.02270168054296151,0.02329705656834637,0.022530919929630782
heartrate_std,0.0211388101481691,0.022737545683289378,0.021325148886152466,0.021306864478588976,0.023100985433449503,0.024022646420064287,0.023019754518134383,0.02149015177360081,0.01992662797388199,0.022961075077542917,0.02219005655062849,0.023201401453204217,0.021742918844647238,0.02039952279071889,0.023671768495891168
systemicsystolic_min,0.0022823648347116724,0.0025686483632863487,0.0045318285113034856,0.0039213459943300165,0.005198579149742937,0.0041839317677022205,0.002687644744966776,0.0032656685281498665,0.005711661943351643,0.0033193642368920784,0.0035678658288231546,0.004109254170304135,0.003102851697562597,0.0037036048745982004,0.003301776433053367
systemicsystolic_max,0.003070856483448869,0.0017368506948704718,0.0017679636644516248,0.0024809223012608114,0.0026576717651858282,0.0021339715573552042,0.0019495621806383608,0.003935333992619834,0.002785085218739715,0.0027354885791134216,0.0033003438830617525,0.002620216744452042,0.002547630615926384,0.0024202269371457336,0.0019225327053238454
systemicsystolic_std,0.0017582752271761294,0.0019020749829732344,0.0017582588347103024,0.00227694529074275,0.0019321225889225588,0.001550494053598636,0.001862487329958599,0.0023170639354720946,0.0018605968309226356,0.0019990476288255063,0.0019196044994209528,0.0024173271800227076,0.0017473382290899358,0.0018011956120549723,0.002125889942287311
